release_year,type,rating,listed_in1,listed_in2,listed_in3,country1,Cluster
2020,TV Show,TV-MA,International TV Shows, TV Dramas, TV Sci-Fi & Fantasy,Brazil,3
2016,Movie,TV-MA,Dramas, International Movies,0,Mexico,0
2011,Movie,R,Horror Movies, International Movies,0,Singapore,0
2009,Movie,PG-13,Action & Adventure, Independent Movies, Sci-Fi & Fantasy,United States,1
2008,Movie,PG-13,Dramas,0,0,United States,1
2016,TV Show,TV-MA,International TV Shows, TV Dramas, TV Mysteries,Turkey,3
2019,Movie,TV-MA,Horror Movies, International Movies,0,Egypt,0
1997,Movie,R,Dramas,0,0,United States,2
2019,Movie,TV-14,Horror Movies, International Movies,0,India,0
2008,Movie,TV-MA,Horror Movies, International Movies, Thrillers,India,0
2017,Movie,TV-MA,Dramas, Thrillers,0,United States,1
2018,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Poland,3
2018,Movie,TV-MA,Documentaries, International Movies, Sports Movies,Thailand,0
2019,Movie,R,Independent Movies, Sci-Fi & Fantasy, Thrillers,United States,1
2014,Movie,TV-14,Dramas, International Movies, Thrillers,Nigeria,0
2018,Movie,R,Dramas, Thrillers,0,Norway,1
2019,Movie,TV-14,Comedies, Dramas, Independent Movies,India,0
2017,Movie,TV-PG,Sports Movies,0,0,United Kingdom,1
2018,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2018,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,0
2017,Movie,TV-14,Dramas, International Movies,0,India,0
2017,Movie,TV-14,Dramas, International Movies,0,India,0
2020,TV Show,TV-14,Anime Series, International TV Shows,0,Japan,3
2020,Movie,TV-MA,Horror Movies, International Movies, Thrillers,South Korea,0
2019,Movie,TV-14,Documentaries, International Movies,0,Italy,0
2020,TV Show,TV-MA,TV Comedies,0,0,United States,3
2018,Movie,TV-G,Dramas, International Movies, Romantic Movies,Indonesia,0
2020,Movie,TV-G,Dramas, International Movies, Romantic Movies,Indonesia,0
2017,Movie,TV-14,Comedies,0,0,United States,1
2018,Movie,TV-14,Comedies, Romantic Movies,0,Canada,0
2014,Movie,TV-MA,Comedies, Dramas, International Movies,Romania,0
2016,Movie,TV-MA,Comedies, Dramas, International Movies,Romania,0
2019,Movie,TV-MA,Comedies, International Movies,0,Spain,0
2015,Movie,TV-14,Comedies, International Movies,0,Turkey,0
2017,Movie,TV-MA,Horror Movies, International Movies,0,Iceland,0
2010,Movie,TV-MA,Comedies, International Movies,0,Turkey,0
2020,Movie,TV-MA,Dramas, International Movies,0,Nigeria,0
2005,Movie,PG-13,Action & Adventure, Sci-Fi & Fantasy,0,United States,1
2013,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Turkey,3
2014,Movie,TV-PG,Dramas, Romantic Movies,0,United States,1
2017,Movie,TV-14,Dramas, Romantic Movies, Sports Movies,United States,0
2017,Movie,TV-14,Comedies, International Movies, Romantic Movies,South Africa,0
2012,Movie,TV-14,Comedies, Dramas, International Movies,France,0
2008,Movie,PG-13,Action & Adventure,0,0,United States,1
2018,TV Show,TV-14,International TV Shows, Romantic TV Shows, TV Dramas,South Korea,3
2020,TV Show,TV-14,Docuseries, Science & Nature TV,0,United States,3
